POLICY,,DURATION,,,,AGE GROUP,,PRICING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSURER NAME,POLICY NAME,MINIMUM VALUE,UNIT,MAXIMUM VALUE,UNIT,AGE MINIMUM,AGE MAXIMUM,,REGION 1,,,REGION 2,,,REGION 3,,,REGION 4,,,REGION 5,,,REGION 6,,,REGION 7,
,,,,,,,,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY,SINGLE,DUO,FAMILY
Webjet,Essentials,9,Days,9,Days,16,75,85.4,162.26,170.8,67.49,128.23,134.98,59.99,113.98,119.98,49.49,94.03,98.98,,,,,,,,,
Webjet,Essentials,10,Days,10,Days,16,75,88.89,168.89,177.78,70.24,133.46,140.48,62.44,118.64,124.88,51.51,97.87,103.02,,,,,,,,,
Webjet,Essentials,11,Days,11,Days,16,75,92.37,175.5,184.74,72.99,138.68,145.98,64.88,123.27,129.76,53.53,101.71,107.06,,,,,,,,,
Webjet,Essentials,12,Days,12,Days,16,75,95.84,182.1,191.68,75.74,143.91,151.48,67.32,127.91,134.64,55.54,105.53,111.08,,,,,,,,,
Webjet,Essentials,13,Days,13,Days,16,75,99.31,188.69,198.62,78.48,149.11,156.96,69.76,132.54,139.52,57.55,109.35,115.1,,,,,,,,,
Webjet,Essentials,14,Days,14,Days,16,75,102.77,195.26,205.54,81.22,154.32,162.44,72.19,137.16,144.38,59.56,113.16,119.12,,,,,,,,,
Webjet,Essentials,15,Days,15,Days,16,75,106.23,201.84,212.46,83.95,159.51,167.9,74.62,141.78,149.24,61.56,116.96,123.12,,,,,,,,,
Webjet,Essentials,16,Days,16,Days,16,75,109.68,208.39,219.36,86.67,164.67,173.34,77.04,146.38,154.08,63.56,120.76,127.12,,,,,,,,,
Webjet,Essentials,17,Days,17,Days,16,75,113.12,214.93,226.24,89.39,169.84,178.78,79.46,150.97,158.92,65.55,124.55,131.1,,,,,,,,,
Webjet,Essentials,18,Days,18,Days,16,75,116.56,221.46,233.12,92.11,175.01,184.22,81.87,155.55,163.74,67.55,128.35,135.1,,,,,,,,,
Webjet,Essentials,19,Days,19,Days,16,75,119.98,227.96,239.96,94.82,180.16,189.64,84.28,160.13,168.56,69.53,132.11,139.06,,,,,,,,,
Webjet,Essentials,20,Days,20,Days,16,75,123.41,234.48,246.82,97.52,185.29,195.04,86.68,164.69,173.36,71.51,135.87,143.02,,,,,,,,,
Webjet,Essentials,21,Days,21,Days,16,75,126.82,240.96,253.64,100.22,190.42,200.44,89.08,169.25,178.16,73.49,139.63,146.98,,,,,,,,,
Webjet,Essentials,22,Days,22,Days,16,75,130.23,247.44,260.46,102.91,195.53,205.82,91.48,173.81,182.96,75.47,143.39,150.94,,,,,,,,,
Webjet,Essentials,23,Days,23,Days,16,75,133.63,253.9,267.26,105.6,200.64,211.2,93.87,178.35,187.74,77.44,147.14,154.88,,,,,,,,,
Webjet,Essentials,24,Days,24,Days,16,75,137.03,260.36,274.06,108.28,205.73,216.56,96.25,182.88,192.5,79.41,150.88,158.82,,,,,,,,,
Webjet,Essentials,25,Days,25,Days,16,75,140.42,266.8,280.84,110.96,210.82,221.92,98.63,187.4,197.26,81.37,154.6,162.74,,,,,,,,,
Webjet,Essentials,26,Days,26,Days,16,75,143.8,273.22,287.6,113.63,215.9,227.26,101.01,191.92,202.02,83.33,158.33,166.66,,,,,,,,,
Webjet,Essentials,27,Days,27,Days,16,75,147.17,279.62,294.34,116.3,220.97,232.6,103.38,196.42,206.76,85.29,162.05,170.58,,,,,,,,,
Webjet,Essentials,28,Days,28,Days,16,75,150.54,286.03,301.08,118.96,226.02,237.92,105.75,200.93,211.5,87.24,165.76,174.48,,,,,,,,,
Webjet,Essentials,29,Days,29,Days,16,75,153.9,292.41,307.8,121.62,231.08,243.24,108.11,205.41,216.22,89.19,169.46,178.38,,,,,,,,,
Webjet,Essentials,30,Days,30,Days,16,75,157.26,298.79,314.52,124.27,236.11,248.54,110.46,209.87,220.92,91.13,173.15,182.26,,,,,,,,,
Webjet,Essentials,31,Days,31,Days,16,75,160.61,305.16,321.22,126.92,241.15,253.84,112.82,214.36,225.64,93.07,176.83,186.14,,,,,,,,,
